filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
01 - Kohinoor - Hemanthamen [Maango.me].mp3,0.25002125,0.24313064,2010.1809673566813,2434.866603629921,4505.96106295038,0.07332508227417159,-86.73073,95.22683,12.7477045,25.89326,1.3570379,3.7425961,-2.4588342,7.9662094,-7.307511,1.458927,-4.5035768,-1.2190611,-4.8555174,0.5187945,-4.1262417,2.9357963,-5.3048916,0.40608418,-3.423346,2.3936574, no-data
"01 - Kolussu Thenni Thenni - Shreya Ghoshal, Yazin Nizar & Tippu (1).mp3",0.35504755,0.27339724,2200.2013869052525,2516.967221933685,4824.334793804583,0.09018312872822075,-30.842752,95.43165,-0.15124972,16.702688,5.80631,6.41624,1.3254641,5.1183357,-1.6676276,7.147249,-1.5339776,5.238972,-2.6103556,2.8038867,-3.6281784,3.3399816,-1.7825248,6.7455196,0.18375887,6.262783, no-data
01 - Lo Maan Liya - Raaz Reboot.mp3,0.23318496,0.27444988,1589.589815657304,2028.3796206652587,3181.4146651802967,0.06894771295509006,-94.56777,122.41225,2.4421551,20.34886,3.84286,2.0268123,-9.947856,1.360157,-8.358772,-0.82815963,-7.771072,-0.32846797,-2.255341,3.8356464,-2.4355817,3.0806727,-3.902332,3.504986,-5.9317174,-3.224049, no-data
01 - Run To The Hills.mp3,0.41077426,0.24675977,2435.5637853679227,2303.99283208825,4851.214931354667,0.12665325116602194,-10.168241,84.61877,-19.998734,35.29267,-4.607353,10.7431555,1.9163288,2.9475327,-3.7492697,5.226464,-1.8162247,-0.24579751,-7.573022,-0.9072436,-9.284293,-2.4437273,-9.805455,-0.4196739,-7.6769614,-4.227518, no-data
01 - Teri Fariyad - DownloadMing.SE.mp3,0.2407765,0.2085258,1575.2380560882257,1959.6374500179027,3041.117058279443,0.06460772816658376,-117.092125,123.96205,-7.146632,14.378744,1.7700732,10.184832,-13.435885,-1.6928003,-7.0674443,-4.8648577,-12.347693,-7.5775595,-6.301969,-0.947492,-4.4665265,0.5266589,-7.9405847,-0.10472906,-5.0996118,-1.5814413, no-data
01 - The Eye Of The Storm.mp3,0.31432825,0.274287,1789.8934508329564,1376.0050755456937,2927.6960544613785,0.12238815462192475,-68.79346,125.53838,-97.53619,14.952304,-26.504469,4.804361,-17.778744,-5.6437535,4.661844,-7.26815,-11.111641,-12.236056,-8.844796,-7.9925766,-11.549883,-0.12453147,-5.110576,0.5315413,-1.3146633,-0.1330471, no-data
01 - Wazir - Tere Bin [Maango.me].mp3,0.26713923,0.15919115,1433.6173196708148,1985.535807052674,2837.5314664998814,0.0519130170091189,-172.11603,124.16066,10.315889,19.849245,7.002044,1.5407947,-1.616453,-3.209257,-10.113379,-3.6593997,-9.886067,-2.0610788,-5.276272,-1.0376675,-4.732405,-4.7521315,-6.9719877,-0.55983984,-3.6947222,0.884039, no-data
01 A Head Full of Dreams.mp3,0.35472813,0.27028582,2135.7923341824103,2275.396717378951,4548.698136202402,0.0943527775796327,-44.15536,101.25148,-11.825009,19.389948,-5.96647,5.02657,-6.341464,-2.2580428,-0.5666975,-1.9133277,0.90323704,1.599688,-1.0466764,0.35486794,-4.500035,1.9547744,-5.0013795,1.0044812,-1.4250447,0.98653525, no-data
01 Bird Set Free.mp3,0.36809403,0.29442516,2199.0865041869147,2403.758331630037,4571.220971223875,0.09377002882714063,-35.811287,97.41063,-7.66919,20.975533,5.574996,7.4350686,16.942472,1.7010176,5.7032437,1.5755683,-4.604107,3.5390434,-4.1491747,6.874661,-1.7181422,1.7521657,-1.0052582,0.79282236,-4.5605106,6.454364, no-data
01 Don't Do Drugs Just Take Some Jack UĢ.m4a,0.30863354,0.17067105,2757.0447490656097,2777.48286515346,5997.88895446868,0.11888950115504272,-113.59959,79.72994,4.6760216,1.9010698,10.933716,0.9657666,-12.2511015,7.121325,-15.185102,5.079278,-7.745618,-9.197001,-8.763116,-1.6884022,-9.809529,0.20328027,-9.443812,-3.5425117,0.5395497,3.738382, no-data
01 Give Life Back To Music.m4a,0.47069946,0.18096602,1873.325416716929,2327.596735978429,4165.938758673238,0.06600177053917643,-127.19645,98.780914,10.510586,41.841278,14.655646,13.61497,6.9821973,9.695695,3.3378842,5.4640236,0.2589262,5.4441075,0.52679557,2.8363876,0.049257033,4.385616,-2.704855,3.2454252,-2.166267,1.8341238, no-data
01 Mozilkalum.mp3,0.2584935,0.25686488,1919.794483368301,2339.267799184693,4369.378066844103,0.06569907329788593,-104.794365,100.28648,9.915637,13.024803,4.1661944,0.8059795,-8.314802,-0.58686197,-11.625593,2.4669971,-9.599337,-1.1865827,0.6960093,1.4611534,-1.9975803,1.7101718,-4.520573,-4.5141077,-5.133644,-0.59132296, no-data
01 Soch Na Sake (Airlift) Arijit Singh 320Kbps.mp3,0.28245518,0.25895008,1970.1920077311495,2428.9507436072654,4484.187240487109,0.07632019113576269,-67.35596,108.02602,13.45083,18.470135,1.776431,6.3217278,-4.7011943,5.534301,-8.233325,3.2764025,-5.643242,-2.6948907,-6.777096,4.812006,-4.5679846,2.7133677,-2.8855865,2.1865516,-4.6705394,-4.582433, no-data
01-PRI~1.MP3,0.28922832,0.16796003,2455.8701344966858,2785.1418485905633,5761.963877839526,0.09135158228233346,-121.40029,87.6082,26.306248,11.229456,7.2267284,7.532971,-2.1501255,2.4118795,-2.9689958,1.8878419,-10.277226,4.669715,-2.028192,1.5835847,-3.0627403,3.1537879,-4.469808,3.872521,-1.2697449,-1.5201719, no-data
01. Consideration (feat. SZA).mp3,0.3765385,0.2963355,2012.756219299483,2271.5619795246316,4150.826776929869,0.08453846898875594,-73.0398,96.45488,4.4222336,25.968864,6.8663607,-2.0396612,6.9988794,1.098261,6.6858597,8.141091,-1.9797555,8.068733,-6.6098866,5.9924335,-4.85783,-0.55899155,-3.5326984,-2.478535,-4.2007833,1.5045987, no-data
